img_path,subtype,case,patch_count,region
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle2/img_x25088_y30464.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle1/img_x18944_y27648.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle2/img_x24832_y30464.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle3/img_x19456_y31744.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle1/img_x19456_y27392.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle1/img_x19200_y27904.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle3/img_x19968_y30976.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle3/img_x19968_y30720.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle2/img_x25088_y30208.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle3/img_x19712_y31488.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle1/img_x19712_y27648.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle3/img_x20224_y31232.tif,Reactive,JMR0045,32,inside
/Dataset/Kurume_Dataset/tsuchimoto/data/Follicle_Dataset/size512_stride256/Reactive/JMR0045/follicle3/img_x19712_y30976.tif,Reactive,JMR0045,32,inside
